month,names,naked,static_hedge,daily_hedge,variance_premium,vol_premium,iv,realized_vol,share_positive
2017-01-01,1,-0.9738831615120347,-0.5128160595647254,0.14005816723940914,0.004552084028293503,0.0295255387371339,0.09185,0.0623244612628661,1.0
2017-02-01,1,0.6889671361502347,0.69432779342723,0.18810399061033048,0.003155715320663186,0.01930114647695974,0.09140000000000001,0.07209885352304027,1.0
2017-03-01,1,0.5068416119962521,0.4772197188378636,0.2904158388003747,0.0036590736606272986,0.02547691950327373,0.08455000000000001,0.059073080496726285,1.0
2017-04-01,1,0.8414605418138983,0.7982194581861003,-0.24629083627797246,0.00023689491727075726,0.0014702118083153026,0.08130000000000001,0.07982978819168471,1.0
2017-05-01,1,0.05334987593051877,0.14659518610421615,0.17997965260545798,0.004540602744477403,0.03593142245135749,0.08115,0.04521857754864251,1.0
2017-06-01,1,0.6110864745011094,0.4562912195121969,-0.0029684035476638,0.00028282244498214256,0.0019058872330488391,0.07515000000000001,0.07324411276695117,1.0
2017-07-01,1,-0.28097982708933184,-0.5755952737752104,-0.7860574063400586,-0.0038479329253051087,-0.024507894561878796,0.06625,0.0907578945618788,0.0
2017-08-01,1,-0.33644148430066645,-0.032686203615605855,0.0937254995242649,0.006698911104602446,0.039742613813340044,0.10415,0.06440738618665996,1.0
2017-09-01,1,-0.6958937198067642,-0.5412197101449285,0.1671327777777717,0.003217392210384709,0.029376189479720163,0.06945000000000001,0.04007381052027985,1.0
2017-10-01,1,0.6662650602409661,0.694324240963857,0.12462563855422065,0.0023915938478684695,0.017855050588948478,0.0759,0.05804494941105152,1.0
2017-11-01,1,-1.2570082449941093,-0.5886876325088346,-0.029343486454648834,0.0008871239174666982,0.006036349210864031,0.07650000000000001,0.07046365078913598,1.0
2017-12-01,1,-1.623773173391498,-1.7726933478735045,0.01153976008724591,-0.0003558647146192917,-0.0024483573201684317,0.07145,0.07389835732016843,0.0
2018-01-01,1,-0.9558515699333917,-1.1607200190294904,-1.2221692483349222,-0.06299387293962719,-0.1785023013442435,0.0872,0.2657023013442435,0.0
2018-02-01,1,0.5475550122249363,0.5046814669926621,0.014189731051342195,0.0032448680831398194,0.010828068089156956,0.15525,0.14442193191084304,1.0
2018-03-01,1,0.4840713053479049,0.4514539390454324,-0.6354788614146075,-0.030316030560294895,-0.083774893268896,0.13905,0.222824893268896,0.0
2018-04-01,1,0.47308399754751373,0.23376763948497445,0.26045622317596606,0.009052144767911191,0.03886049653832306,0.13590000000000002,0.09703950346167696,1.0
2018-05-01,1,0.1924050632911336,0.11471761301988546,-0.04109141048824576,0.0008705609082208556,0.004472970220041353,0.09955,0.09507702977995865,1.0
2018-06-01,1,0.5644480519480531,0.5186468181818197,0.027146120129872917,-0.0005744725368331764,-0.0030692674321726177,0.09205,0.09511926743217262,0.0
2018-07-01,1,0.18242753623188201,0.30872617753622994,-0.06784864130434559,0.0009819909209499511,0.005675442462776958,0.08935000000000001,0.08367455753722305,1.0
2018-08-01,1,-0.2200980392156874,-0.0634603431372559,0.15872759803921474,0.004007081462131192,0.026250150017038745,0.08945,0.06319984998296126,1.0
2018-09-01,1,-1.8994285714285677,-1.8994285714285677,-0.47246977142857044,-0.028410012359803418,-0.10233035387850875,0.08765,0.18998035387850876,0.0
2018-10-01,1,0.8076014381099125,0.8098897586029787,-0.2617162711864444,-0.01921396542647331,-0.050124538127258006,0.16660000000000003,0.21672453812725803,0.0
2018-11-01,1,-1.2715413377648535,-0.8702294308267556,-0.14262520149563862,-0.0204069324092988,-0.049667870987897045,0.1806,0.23026787098789706,0.0
2019-01-01,1,-0.5941043083900216,-0.4818835600907022,0.22760663265305922,0.016110260429153044,0.055923561517218515,0.172,0.11607643848278147,1.0
2019-02-01,1,0.3346906812842597,0.3929730618637425,0.13567003915426823,0.006606837306421276,0.03150722423462875,0.1206,0.08909277576537125,1.0
